match_id,player,row,pts,won_1+,won_2+,won_3+,won_4+,won_5+,won_6+,won_7+,won_8+,won_9+,won_10+
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,2,12,50.0%,33.3%,37.5%,16.7%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,1,58,62.1%,47.6%,54.1%,37.0%,43.5%,31.6%,42.9%,20.0%,28.6%,16.7%
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,2,24,54.2%,50.0%,68.8%,54.5%,54.5%,28.6%,50.0%,50.0%,50.0%,33.3%
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,1,57,59.6%,54.0%,64.3%,54.5%,62.1%,42.1%,61.5%,50.0%,71.4%,66.7%
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,2,28,42.9%,36.0%,42.9%,40.0%,57.1%,53.8%,70.0%,66.7%,100.0%,100.0%
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,1,20,80.0%,75.0%,80.0%,70.0%,87.5%,85.7%,100.0%,100.0%,100.0%,100.0%
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,2,16,56.3%,30.0%,50.0%,50.0%,50.0%,50.0%,60.0%,33.3%,33.3%,33.3%
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,1,25,32.0%,29.2%,46.7%,38.5%,45.5%,40.0%,66.7%,50.0%,66.7%,66.7%
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,2,11,9.1%,9.1%,12.5%,12.5%,20.0%,20.0%,25.0%,25.0%,50.0%,0.0%
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,1,42,73.8%,64.5%,74.1%,63.2%,75.0%,71.4%,76.9%,57.1%,66.7%,50.0%
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,2,26,57.7%,47.6%,58.8%,46.2%,66.7%,40.0%,50.0%,33.3%,33.3%,33.3%
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,1,33,69.7%,56.5%,59.1%,50.0%,64.3%,44.4%,80.0%,66.7%,66.7%,0.0%
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,2,25,40.0%,28.6%,42.9%,38.5%,41.7%,36.4%,57.1%,40.0%,50.0%,50.0%
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Aryna Sabalenka,1,40,60.0%,40.7%,50.0%,38.9%,53.8%,45.5%,83.3%,75.0%,100.0%,100.0%
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Aryna Sabalenka,2,20,75.0%,64.3%,69.2%,60.0%,85.7%,80.0%,100.0%,100.0%,100.0%,100.0%
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Qinwen Zheng,1,44,63.6%,33.3%,40.0%,25.0%,36.4%,12.5%,25.0%,25.0%,50.0%,50.0%
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Qinwen Zheng,2,28,46.4%,34.8%,42.1%,35.3%,42.9%,38.5%,45.5%,33.3%,42.9%,42.9%
20250602-W-Roland_Garros-R16-Mirra_Andreeva-Daria_Kasatkina,Mirra Andreeva,1,50,70.0%,64.3%,73.0%,69.7%,76.7%,58.8%,71.4%,63.6%,77.8%,66.7%
20250602-W-Roland_Garros-R16-Mirra_Andreeva-Daria_Kasatkina,Mirra Andreeva,2,23,47.8%,45.5%,52.6%,47.1%,50.0%,27.3%,37.5%,37.5%,42.9%,42.9%
20250602-W-Roland_Garros-R16-Mirra_Andreeva-Daria_Kasatkina,Daria Kasatkina,1,50,54.0%,46.5%,54.1%,48.5%,51.6%,40.0%,47.6%,31.3%,41.7%,30.0%
20250602-W-Roland_Garros-R16-Mirra_Andreeva-Daria_Kasatkina,Daria Kasatkina,2,11,63.6%,55.6%,71.4%,66.7%,80.0%,66.7%,66.7%,50.0%,100.0%,100.0%
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Elena Rybakina,1,38,71.1%,54.2%,72.2%,37.5%,60.0%,60.0%,60.0%,33.3%,50.0%,50.0%
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Elena Rybakina,2,41,48.8%,43.2%,61.5%,47.4%,56.3%,22.2%,33.3%,20.0%,100.0%,100.0%
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Iga Swiatek,1,56,62.5%,56.3%,62.8%,46.7%,73.7%,64.3%,75.0%,66.7%,85.7%,75.0%
20250601-W-Roland_Garros-R16-Elena_Rybakina-Iga_Swiatek,Iga Swiatek,2,36,58.3%,46.4%,56.5%,28.6%,50.0%,20.0%,33.3%,33.3%,50.0%,50.0%
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Yulia Putintseva,1,49,55.1%,51.1%,59.0%,50.0%,64.0%,43.8%,58.3%,44.4%,57.1%,40.0%
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Yulia Putintseva,2,12,16.7%,9.1%,12.5%,12.5%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Mirra Andreeva,1,33,75.8%,69.2%,72.0%,61.1%,68.8%,50.0%,55.6%,42.9%,42.9%,20.0%
20250531-W-Roland_Garros-R32-Yulia_Putintseva-Mirra_Andreeva,Mirra Andreeva,2,10,80.0%,71.4%,71.4%,60.0%,60.0%,33.3%,33.3%,0.0%,0.0%,0.0%
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Jelena Ostapenko,1,41,58.5%,45.2%,60.9%,25.0%,42.9%,20.0%,100.0%,-,-,-
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Jelena Ostapenko,2,18,44.4%,28.6%,50.0%,33.3%,66.7%,0.0%,0.0%,0.0%,-,-
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Elena Rybakina,1,20,80.0%,60.0%,66.7%,40.0%,66.7%,66.7%,100.0%,100.0%,100.0%,100.0%
20250530-W-Roland_Garros-R32-Jelena_Ostapenko-Elena_Rybakina,Elena Rybakina,2,24,66.7%,50.0%,61.5%,28.6%,100.0%,100.0%,100.0%,-,-,-
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Iga Swiatek,1,32,75.0%,68.0%,77.3%,66.7%,76.9%,72.7%,88.9%,83.3%,83.3%,80.0%
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Iga Swiatek,2,32,68.8%,61.5%,80.0%,71.4%,83.3%,75.0%,100.0%,100.0%,100.0%,100.0%
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Jaqueline Cristian,1,38,71.1%,60.7%,68.0%,50.0%,66.7%,63.6%,87.5%,66.7%,66.7%,50.0%
20250530-W-Roland_Garros-R32-Iga_Swiatek-Jaqueline_Cristian,Jaqueline Cristian,2,29,41.4%,26.1%,37.5%,33.3%,45.5%,45.5%,50.0%,16.7%,25.0%,0.0%
20250530-W-Roland_Garros-R32-Aryna_Sabalenka-Olga_Danilovic,Aryna Sabalenka,1,39,61.5%,48.3%,63.6%,52.9%,90.0%,80.0%,80.0%,66.7%,100.0%,-
20250530-W-Roland_Garros-R32-Aryna_Sabalenka-Olga_Danilovic,Aryna Sabalenka,2,19,57.9%,50.0%,66.7%,60.0%,75.0%,60.0%,60.0%,33.3%,100.0%,-
20250530-W-Roland_Garros-R32-Aryna_Sabalenka-Olga_Danilovic,Olga Danilovic,1,36,58.3%,42.3%,57.9%,38.5%,71.4%,50.0%,66.7%,50.0%,100.0%,100.0%
20250530-W-Roland_Garros-R32-Aryna_Sabalenka-Olga_Danilovic,Olga Danilovic,2,14,35.7%,35.7%,62.5%,25.0%,50.0%,0.0%,-,-,-,-
20250529-W-Roland_Garros-R64-Mirra_Andreeva-Ashlyn_Krueger,Mirra Andreeva,1,30,73.3%,63.6%,82.4%,72.7%,72.7%,66.7%,75.0%,60.0%,60.0%,50.0%
20250529-W-Roland_Garros-R64-Mirra_Andreeva-Ashlyn_Krueger,Mirra Andreeva,2,20,65.0%,50.0%,63.6%,50.0%,66.7%,60.0%,75.0%,50.0%,50.0%,0.0%
20250529-W-Roland_Garros-R64-Mirra_Andreeva-Ashlyn_Krueger,Ashlyn Krueger,1,32,56.3%,46.2%,60.0%,55.6%,62.5%,53.8%,63.6%,55.6%,62.5%,40.0%
20250529-W-Roland_Garros-R64-Mirra_Andreeva-Ashlyn_Krueger,Ashlyn Krueger,2,16,37.5%,37.5%,50.0%,45.5%,45.5%,25.0%,66.7%,50.0%,50.0%,50.0%
20250528-W-Roland_Garros-R64-Iga_Swiatek-Emma_Raducanu,Iga Swiatek,1,40,70.0%,60.0%,69.2%,57.9%,68.8%,54.5%,66.7%,40.0%,66.7%,66.7%
20250528-W-Roland_Garros-R64-Iga_Swiatek-Emma_Raducanu,Iga Swiatek,2,17,70.6%,68.8%,68.8%,58.3%,77.8%,60.0%,60.0%,50.0%,66.7%,0.0%
20250528-W-Roland_Garros-R64-Iga_Swiatek-Emma_Raducanu,Emma Raducanu,1,25,52.0%,36.8%,46.7%,38.5%,71.4%,50.0%,100.0%,-,-,-
20250528-W-Roland_Garros-R64-Iga_Swiatek-Emma_Raducanu,Emma Raducanu,2,17,35.3%,26.7%,36.4%,12.5%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%
20250527-W-Roland_Garros-R128-Varvara_Gracheva-Sofia_Kenin,Varvara Gracheva,1,31,38.7%,24.0%,35.3%,8.3%,33.3%,0.0%,0.0%,0.0%,-,-
20250527-W-Roland_Garros-R128-Varvara_Gracheva-Sofia_Kenin,Varvara Gracheva,2,14,50.0%,36.4%,66.7%,60.0%,100.0%,100.0%,100.0%,100.0%,100.0%,-
20250527-W-Roland_Garros-R128-Varvara_Gracheva-Sofia_Kenin,Sofia Kenin,1,43,69.8%,62.9%,75.9%,56.3%,69.2%,33.3%,50.0%,0.0%,0.0%,0.0%
20250527-W-Roland_Garros-R128-Varvara_Gracheva-Sofia_Kenin,Sofia Kenin,2,14,28.6%,23.1%,42.9%,42.9%,75.0%,0.0%,-,-,-,-
20250527-W-Roland_Garros-R128-Olivia_Gadecki-Coco_Gauff,Olivia Gadecki,1,29,55.2%,43.5%,58.8%,46.2%,60.0%,60.0%,75.0%,75.0%,100.0%,100.0%
20250527-W-Roland_Garros-R128-Olivia_Gadecki-Coco_Gauff,Olivia Gadecki,2,15,20.0%,7.7%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20250527-W-Roland_Garros-R128-Olivia_Gadecki-Coco_Gauff,Coco Gauff,1,31,67.7%,61.5%,64.0%,52.6%,62.5%,50.0%,54.5%,28.6%,33.3%,33.3%
20250527-W-Roland_Garros-R128-Olivia_Gadecki-Coco_Gauff,Coco Gauff,2,14,71.4%,60.0%,75.0%,66.7%,80.0%,75.0%,100.0%,100.0%,100.0%,-
20250527-W-Roland_Garros-R128-Mirra_Andreeva-Cristina_Bucsa,Mirra Andreeva,1,37,73.0%,50.0%,52.6%,43.8%,58.3%,54.5%,75.0%,66.7%,66.7%,60.0%
20250527-W-Roland_Garros-R128-Mirra_Andreeva-Cristina_Bucsa,Mirra Andreeva,2,31,51.6%,42.3%,44.0%,36.4%,50.0%,38.5%,50.0%,28.6%,66.7%,50.0%
20250527-W-Roland_Garros-R128-Mirra_Andreeva-Cristina_Bucsa,Cristina Bucsa,1,31,58.1%,51.9%,66.7%,58.8%,76.9%,70.0%,77.8%,71.4%,71.4%,66.7%
20250527-W-Roland_Garros-R128-Mirra_Andreeva-Cristina_Bucsa,Cristina Bucsa,2,17,52.9%,46.7%,53.8%,53.8%,58.3%,37.5%,60.0%,33.3%,50.0%,50.0%
20250526-W-Roland_Garros-R128-Rebecca_Sramkova-Iga_Swiatek,Rebecca Sramkova,1,39,53.8%,35.7%,45.5%,29.4%,41.7%,12.5%,20.0%,20.0%,50.0%,50.0%
20250526-W-Roland_Garros-R128-Rebecca_Sramkova-Iga_Swiatek,Rebecca Sramkova,2,26,53.8%,45.5%,62.5%,53.8%,70.0%,50.0%,60.0%,50.0%,50.0%,33.3%
20250526-W-Roland_Garros-R128-Rebecca_Sramkova-Iga_Swiatek,Iga Swiatek,1,37,70.3%,57.7%,71.4%,53.8%,70.0%,40.0%,100.0%,-,-,-
20250526-W-Roland_Garros-R128-Rebecca_Sramkova-Iga_Swiatek,Iga Swiatek,2,15,66.7%,66.7%,71.4%,55.6%,83.3%,66.7%,66.7%,0.0%,-,-
20250522-W-Strasbourg-QF-Elena_Rybakina-Magda_Linette,Elena Rybakina,1,38,81.6%,66.7%,73.7%,58.3%,70.0%,40.0%,66.7%,0.0%,-,-
20250522-W-Strasbourg-QF-Elena_Rybakina-Magda_Linette,Elena Rybakina,2,24,66.7%,52.9%,75.0%,66.7%,85.7%,80.0%,100.0%,-,-,-
20250522-W-Strasbourg-QF-Elena_Rybakina-Magda_Linette,Magda Linette,1,37,70.3%,54.2%,68.4%,53.8%,87.5%,80.0%,100.0%,-,-,-
20250522-W-Strasbourg-QF-Elena_Rybakina-Magda_Linette,Magda Linette,2,34,55.9%,48.3%,63.6%,46.7%,63.6%,42.9%,50.0%,25.0%,33.3%,33.3%
20250521-W-Roland_Garros-Q2-Nao_Hibino-Bianca_Andreescu,Nao Hibino,1,78,65.4%,57.8%,67.3%,58.1%,65.8%,61.8%,75.0%,68.2%,75.0%,66.7%
20250521-W-Roland_Garros-Q2-Nao_Hibino-Bianca_Andreescu,Nao Hibino,2,16,50.0%,42.9%,50.0%,45.5%,55.6%,42.9%,50.0%,40.0%,66.7%,50.0%
20250521-W-Roland_Garros-Q2-Nao_Hibino-Bianca_Andreescu,Bianca Andreescu,1,66,71.2%,65.5%,73.5%,62.9%,68.8%,37.5%,54.5%,44.4%,57.1%,40.0%
20250521-W-Roland_Garros-Q2-Nao_Hibino-Bianca_Andreescu,Bianca Andreescu,2,28,50.0%,41.7%,45.5%,36.8%,50.0%,41.7%,55.6%,20.0%,33.3%,0.0%
20250520-W-Roland_Garros-Q1-Linda_Fruhvirtova-Linda_Klimovicova,Linda Fruhvirtova,1,42,73.8%,62.1%,66.7%,59.1%,72.2%,54.5%,66.7%,57.1%,66.7%,50.0%
20250520-W-Roland_Garros-Q1-Linda_Fruhvirtova-Linda_Klimovicova,Linda Fruhvirtova,2,24,41.7%,36.4%,44.4%,33.3%,45.5%,45.5%,50.0%,37.5%,50.0%,0.0%
20250520-W-Roland_Garros-Q1-Linda_Fruhvirtova-Linda_Klimovicova,Linda Klimovicova,1,36,72.2%,58.3%,63.6%,33.3%,44.4%,37.5%,60.0%,50.0%,66.7%,66.7%
20250520-W-Roland_Garros-Q1-Linda_Fruhvirtova-Linda_Klimovicova,Linda Klimovicova,2,27,70.4%,65.2%,68.2%,58.8%,58.8%,41.7%,62.5%,57.1%,80.0%,80.0%
20250519-W-Roland_Garros-Q1-Xinxin_Yao-Bianca_Andreescu,Xinxin Yao,1,23,26.1%,15.0%,15.8%,11.1%,16.7%,9.1%,14.3%,14.3%,16.7%,0.0%
20250519-W-Roland_Garros-Q1-Xinxin_Yao-Bianca_Andreescu,Xinxin Yao,2,14,42.9%,20.0%,25.0%,25.0%,28.6%,28.6%,50.0%,50.0%,100.0%,100.0%
20250519-W-Roland_Garros-Q1-Xinxin_Yao-Bianca_Andreescu,Bianca Andreescu,1,23,73.9%,68.4%,68.4%,62.5%,71.4%,66.7%,66.7%,55.6%,83.3%,80.0%
20250519-W-Roland_Garros-Q1-Xinxin_Yao-Bianca_Andreescu,Bianca Andreescu,2,10,80.0%,77.8%,77.8%,66.7%,80.0%,66.7%,66.7%,66.7%,100.0%,100.0%
20250514-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,1,41,73.2%,63.3%,70.4%,61.9%,72.2%,58.3%,70.0%,62.5%,83.3%,66.7%
20250514-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,2,18,61.1%,56.3%,56.3%,53.3%,66.7%,60.0%,66.7%,50.0%,75.0%,0.0%
20250514-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,1,40,50.0%,45.9%,53.1%,46.4%,50.0%,38.1%,66.7%,55.6%,62.5%,57.1%
20250514-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,2,28,64.3%,63.0%,68.0%,63.6%,70.0%,62.5%,71.4%,60.0%,75.0%,60.0%
20250514-W-Rome-QF-Aryna_Sabalenka-Qinwen_Zheng,Aryna Sabalenka,1,44,59.1%,48.6%,70.8%,56.3%,81.8%,60.0%,75.0%,66.7%,66.7%,66.7%
20250514-W-Rome-QF-Aryna_Sabalenka-Qinwen_Zheng,Aryna Sabalenka,2,23,52.2%,42.1%,61.5%,16.7%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20250514-W-Rome-QF-Aryna_Sabalenka-Qinwen_Zheng,Qinwen Zheng,1,34,82.4%,73.9%,85.0%,70.0%,77.8%,71.4%,83.3%,66.7%,100.0%,100.0%
20250514-W-Rome-QF-Aryna_Sabalenka-Qinwen_Zheng,Qinwen Zheng,2,26,57.7%,47.6%,52.6%,25.0%,37.5%,28.6%,66.7%,0.0%,0.0%,0.0%
20250512-W-Rome-R16-Qinwen_Zheng-Bianca_Andreescu,Qinwen Zheng,1,27,77.8%,73.9%,85.0%,76.9%,83.3%,75.0%,75.0%,66.7%,66.7%,50.0%
20250512-W-Rome-R16-Qinwen_Zheng-Bianca_Andreescu,Qinwen Zheng,2,21,57.1%,50.0%,75.0%,62.5%,83.3%,75.0%,100.0%,100.0%,100.0%,100.0%
20250512-W-Rome-R16-Qinwen_Zheng-Bianca_Andreescu,Bianca Andreescu,1,43,39.5%,31.6%,41.4%,37.0%,45.5%,29.4%,33.3%,16.7%,25.0%,0.0%
20250512-W-Rome-R16-Qinwen_Zheng-Bianca_Andreescu,Bianca Andreescu,2,16,43.8%,30.8%,36.4%,30.0%,33.3%,14.3%,25.0%,0.0%,0.0%,0.0%
20250512-W-Rome-R16-Clara_Tauson-Mirra_Andreeva,Clara Tauson,1,55,69.1%,57.5%,63.9%,48.0%,63.2%,41.7%,55.6%,50.0%,80.0%,75.0%
20250512-W-Rome-R16-Clara_Tauson-Mirra_Andreeva,Clara Tauson,2,35,48.6%,35.7%,41.7%,30.0%,46.2%,41.7%,50.0%,44.4%,66.7%,60.0%
20250512-W-Rome-R16-Clara_Tauson-Mirra_Andreeva,Mirra Andreeva,1,67,73.1%,60.0%,69.2%,53.8%,63.6%,55.6%,62.5%,40.0%,66.7%,50.0%
20250512-W-Rome-R16-Clara_Tauson-Mirra_Andreeva,Mirra Andreeva,2,30,56.7%,50.0%,56.5%,41.2%,50.0%,36.4%,66.7%,66.7%,66.7%,33.3%
20250511-W-Rome-R32-Linda_Noskova-Mirra_Andreeva,Linda Noskova,1,37,67.6%,57.1%,64.0%,50.0%,50.0%,35.7%,50.0%,44.4%,57.1%,40.0%
20250511-W-Rome-R32-Linda_Noskova-Mirra_Andreeva,Linda Noskova,2,19,36.8%,29.4%,55.6%,50.0%,66.7%,66.7%,66.7%,66.7%,80.0%,0.0%
20250511-W-Rome-R32-Linda_Noskova-Mirra_Andreeva,Mirra Andreeva,1,36,72.2%,63.0%,81.0%,63.6%,77.8%,66.7%,66.7%,60.0%,75.0%,50.0%
20250511-W-Rome-R32-Linda_Noskova-Mirra_Andreeva,Mirra Andreeva,2,19,68.4%,60.0%,69.2%,63.6%,63.6%,50.0%,57.1%,40.0%,50.0%,33.3%
20250511-W-Rome-R32-Elena_Rybakina-Bianca_Andreescu,Elena Rybakina,1,26,57.7%,45.0%,56.3%,36.4%,50.0%,33.3%,40.0%,0.0%,0.0%,0.0%
20250511-W-Rome-R32-Elena_Rybakina-Bianca_Andreescu,Elena Rybakina,2,28,53.6%,40.9%,64.3%,61.5%,72.7%,25.0%,50.0%,50.0%,100.0%,-
20250511-W-Rome-R32-Elena_Rybakina-Bianca_Andreescu,Bianca Andreescu,1,56,67.9%,59.1%,66.7%,40.9%,50.0%,35.7%,45.5%,33.3%,42.9%,33.3%
20250511-W-Rome-R32-Elena_Rybakina-Bianca_Andreescu,Bianca Andreescu,2,8,75.0%,75.0%,85.7%,66.7%,100.0%,-,-,-,-,-
20250509-W-Rome-R64-Emiliana_Arango-Mirra_Andreeva,Emiliana Arango,1,48,47.9%,40.5%,45.9%,44.4%,51.6%,42.3%,52.4%,37.5%,46.2%,46.2%
20250509-W-Rome-R64-Emiliana_Arango-Mirra_Andreeva,Emiliana Arango,2,12,33.3%,33.3%,40.0%,40.0%,66.7%,60.0%,75.0%,50.0%,100.0%,100.0%
20250509-W-Rome-R64-Emiliana_Arango-Mirra_Andreeva,Mirra Andreeva,1,50,56.0%,51.1%,60.5%,48.3%,53.8%,40.0%,44.4%,33.3%,55.6%,50.0%
20250509-W-Rome-R64-Emiliana_Arango-Mirra_Andreeva,Mirra Andreeva,2,13,61.5%,54.5%,66.7%,62.5%,71.4%,66.7%,100.0%,100.0%,100.0%,100.0%
20250509-W-Rome-R64-Donna_Vekic-Bianca_Andreescu,Donna Vekic,1,42,73.8%,63.3%,73.1%,58.8%,66.7%,44.4%,66.7%,33.3%,100.0%,100.0%
20250509-W-Rome-R64-Donna_Vekic-Bianca_Andreescu,Donna Vekic,2,38,44.7%,38.2%,56.5%,44.4%,53.3%,30.0%,50.0%,25.0%,50.0%,0.0%
20250509-W-Rome-R64-Donna_Vekic-Bianca_Andreescu,Bianca Andreescu,1,49,77.6%,63.3%,67.9%,57.1%,80.0%,70.0%,87.5%,83.3%,83.3%,80.0%
20250509-W-Rome-R64-Donna_Vekic-Bianca_Andreescu,Bianca Andreescu,2,18,50.0%,40.0%,50.0%,33.3%,60.0%,0.0%,0.0%,0.0%,-,-
20250507-W-Rome-R128-Victoria_Mboko-Arianna_Zucchini,Victoria Mboko,1,41,70.7%,55.6%,65.2%,50.0%,57.1%,33.3%,50.0%,40.0%,66.7%,66.7%
20250507-W-Rome-R128-Victoria_Mboko-Arianna_Zucchini,Victoria Mboko,2,17,41.2%,23.1%,25.0%,18.2%,20.0%,11.1%,16.7%,0.0%,0.0%,0.0%
20250507-W-Rome-R128-Victoria_Mboko-Arianna_Zucchini,Arianna Zucchini,1,21,47.6%,38.9%,43.8%,35.7%,45.5%,40.0%,44.4%,44.4%,66.7%,60.0%
20250507-W-Rome-R128-Victoria_Mboko-Arianna_Zucchini,Arianna Zucchini,2,21,38.1%,27.8%,31.3%,31.3%,38.5%,20.0%,28.6%,28.6%,28.6%,0.0%
20250507-W-Rome-R128-Naomi_Osaka-Sara_Errani,Naomi Osaka,1,22,90.9%,83.3%,90.9%,88.9%,88.9%,80.0%,80.0%,50.0%,100.0%,100.0%
20250507-W-Rome-R128-Naomi_Osaka-Sara_Errani,Naomi Osaka,2,23,52.2%,50.0%,73.3%,60.0%,66.7%,57.1%,57.1%,0.0%,0.0%,0.0%
20250507-W-Rome-R128-Naomi_Osaka-Sara_Errani,Sara Errani,1,53,49.1%,41.3%,44.2%,31.4%,44.0%,33.3%,46.7%,27.3%,33.3%,14.3%
20250507-W-Rome-R128-Naomi_Osaka-Sara_Errani,Sara Errani,2,10,40.0%,14.3%,16.7%,16.7%,50.0%,50.0%,100.0%,100.0%,100.0%,100.0%
20250507-W-Rome-R128-Federica_Urgesi-Bianca_Andreescu,Federica Urgesi,1,34,50.0%,34.6%,45.0%,26.7%,36.4%,22.2%,40.0%,40.0%,40.0%,0.0%
20250507-W-Rome-R128-Federica_Urgesi-Bianca_Andreescu,Federica Urgesi,2,20,35.0%,23.5%,30.8%,25.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%
20250507-W-Rome-R128-Federica_Urgesi-Bianca_Andreescu,Bianca Andreescu,1,27,77.8%,68.4%,76.5%,69.2%,75.0%,57.1%,57.1%,40.0%,66.7%,66.7%
